h,Run,tau,F_peak
4.0,1,0.240,5.87
4.0,2,0.220,7.35
4.0,3,0.240,6.33
4.0,4,0.240,6.18
4.0,5,0.220,6.99
16.0,1,0.250,5.67
16.0,2,0.240,6.17
16.0,3,0.250,6.01
16.0,4,0.250,6.12
16.0,5,0.230,5.83
28.0,1,0.260,5.47
28.0,2,0.260,5.78
28.0,3,0.250,5.45
28.0,4,0.260,5.90
28.0,5,0.250,5.67
40.0,1,0.250,5.31
40.0,2,0.250,5.37
40.0,3,0.250,5.20
40.0,4,0.260,5.40
40.0,5,0.260,5.38
52.0,1,0.250,4.43
52.0,2,0.260,4.90
52.0,3,0.250,4.88
52.0,4,0.260,4.69
52.0,5,0.260,4.81
64.0,1,0.260,4.30
64.0,2,0.250,4.47
64.0,3,0.270,4.44
64.0,4,0.260,4.45
64.0,5,0.260,4.45
76.0,1,0.270,4.18
76.0,2,0.260,3.90
76.0,3,0.260,3.74
76.0,4,0.250,3.75
76.0,5,0.260,4.07
