parameter,model,x,observed,fitted,residual
peak_force,linear,4.0,6.544,6.542685103960025,0.001314896039974478
peak_force,linear,16.0,5.96,6.118563242678637,-0.1585632426786372
peak_force,linear,28.0,5.654,5.69444138139725,-0.040441381397250176
peak_force,linear,40.0,5.332,5.270319520115862,0.06168047988413772
peak_force,linear,52.0,4.742,4.846197658834475,-0.10419765883447507
peak_force,linear,64.0,4.422,4.422075797553087,-7.579755308739777e-05
peak_force,linear,76.0,3.928,3.9979539362716996,-0.06995393627169966
contact_duration,linear,4.0,0.23199999999999998,0.24392927152842384,-0.011929271528423852
contact_duration,linear,16.0,0.244,0.24709304397758533,-0.0030930439775853358
contact_duration,linear,28.0,0.256,0.2502568164267468,0.005743183573253208
contact_duration,linear,40.0,0.254,0.2534205888759083,0.000579411124091711
contact_duration,linear,52.0,0.256,0.2565843613250698,-0.0005843613250697821
contact_duration,linear,64.0,0.26,0.2597481337742313,0.0002518662257687265
contact_duration,linear,76.0,0.26,0.2629119062233928,-0.0029119062233927684
peak_force,powerlaw_sqrt,2.0,6.544,7.14092058376559,-0.5969205837655904
peak_force,powerlaw_sqrt,4.0,5.96,6.242770622388865,-0.2827706223888651
peak_force,powerlaw_sqrt,5.291502622129181,5.654,5.6627891072972325,-0.00878910729723259
peak_force,powerlaw_sqrt,6.324555320336759,5.332,5.198870986799604,0.13312901320039572
peak_force,powerlaw_sqrt,7.211102550927978,4.742,4.80074480634253,-0.05874480634253043
peak_force,powerlaw_sqrt,8.0,4.422,4.446470699635414,-0.024470699635414483
peak_force,powerlaw_sqrt,8.717797887081348,3.928,4.124125627356211,-0.19612562735621086
contact_duration,powerlaw_sqrt,2.0,0.23199999999999998,0.23936222042543423,-0.007362220425434246
contact_duration,powerlaw_sqrt,4.0,0.244,0.2462066033609221,-0.002206603360922099
contact_duration,powerlaw_sqrt,5.291502622129181,0.256,0.25062637261494153,0.005373627385058477
contact_duration,powerlaw_sqrt,6.324555320336759,0.254,0.25416167674447737,-0.00016167674447736813
contact_duration,powerlaw_sqrt,7.211102550927978,0.256,0.2571956111127586,-0.001195611112758621
contact_duration,powerlaw_sqrt,8.0,0.26,0.2598953692318979,0.0001046307681021319
contact_duration,powerlaw_sqrt,8.717797887081348,0.26,0.2623518110366323,-0.0023518110366322897
