"Latest: Time (s)","Latest: Force (N)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Position (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)","Run 2: Time (s)","Run 2: Force (N)","Run 2: Position (m)","Run 2: Velocity (m/s)","Run 2: Acceleration (m/s²)","Run 3: Time (s)","Run 3: Force (N)","Run 3: Position (m)","Run 3: Velocity (m/s)","Run 3: Acceleration (m/s²)","Run 4: Time (s)","Run 4: Force (N)","Run 4: Position (m)","Run 4: Velocity (m/s)","Run 4: Acceleration (m/s²)"
0.01,-0.0502901338041,,,,0.01,-0.0502901338041,,,,0.01,-0.0502901338041,,,,0.01,-0.0502901338041,,,,0.01,-0.0193423591554,,,
0.02,-0.0502901338041,,,,0.02,-0.0193423591554,,,,0.02,-0.0193423591554,,,,0.02,-0.0193423591554,,,,0.02,-0.0502901338041,,,
0.03,-0.0502901338041,,,,0.03,-0.0502901338041,,,,0.03,-0.0193423591554,,,,0.03,-0.0193423591554,,,,0.03,-0.0193423591554,,,
0.04,-0.0502901338041,0.0056595,-0.0633597222222,0.409363618827,0.04,-0.0193423591554,-0.001372,0.0797951388889,-1.10854701968,0.04,-0.0502901338041,0.0008575,-0.0154826388889,0.365843508873,0.04,0.0116054154932,0.0001715,-0.0102423611111,0.48866251929,0.04,-0.0502901338041,-0.0001715,0.00619305555556,0.212720871914
0.05,-0.0502901338041,,,,0.05,-0.0193423591554,,,,0.05,-0.0193423591554,,,,0.05,-0.0193423591554,,,,0.05,-0.0193423591554,,,
0.06,-0.0193423591554,,,,0.06,-0.0193423591554,,,,0.06,-0.0502901338041,,,,0.06,-0.0193423591554,,,,0.06,-0.0502901338041,,,
0.07,-0.0502901338041,,,,0.07,-0.0502901338041,,,,0.07,-0.0193423591554,,,,0.07,-0.0193423591554,,,,0.07,-0.0502901338041,,,
0.08,-0.0502901338041,0.002401,-0.0441850694444,0.350377411265,0.08,-0.0502901338041,0.0036015,0.0307866319444,-0.914368923611,0.08,-0.0193423591554,-0.000686,0.00565711805556,0.193293137539,0.08,-0.0193423591554,-0.0012005,0.0145298611111,0.292913001543,0.08,-0.0502901338041,-0.0001715,0.0141725694444,0.140973066165
0.09,-0.0193423591554,,,,0.09,-0.0502901338041,,,,0.09,-0.0502901338041,,,,0.09,-0.0193423591554,,,,0.09,-0.0193423591554,,,
0.1,-0.0502901338041,,,,0.1,-0.0502901338041,,,,0.1,-0.0502901338041,,,,0.1,-0.0193423591554,,,,0.1,-0.0502901338041,,,
0.11,-0.0193423591554,,,,0.11,-0.0502901338041,,,,0.11,-0.0502901338041,,,,0.11,-0.0502901338041,,,,0.11,-0.0502901338041,,,
0.12,-0.0193423591554,0.002401,-0.0363722916667,0.327169994213,0.12,-0.0193423591554,0.0018865,-0.00778895833333,-0.567076461227,0.12,-0.0502901338041,0.0022295,0.00314416666667,0.0509884982639,0.12,-0.0193423591554,0.001372,0.0238670833333,0.0203953993056,0.12,0.0116054154932,-0.0001715,0.0314416666667,-0.0942356770833
0.13,-0.0193423591554,,,,0.13,-0.0502901338041,,,,0.13,-0.0502901338041,,,,0.13,-0.0193423591554,,,,0.13,-0.0502901338041,,,
0.14,-0.0502901338041,,,,0.14,-0.0193423591554,,,,0.14,-0.0193423591554,,,,0.14,0.0116054154932,,,,0.14,-0.0502901338041,,,
0.15,-0.0502901338041,,,,0.15,-0.0193423591554,,,,0.15,-0.0502901338041,,,,0.15,-0.0502901338041,,,,0.15,-0.0502901338041,,,
0.16,-0.0502901338041,-0.0008575,-0.0221520833333,0.376860001929,0.16,-0.0193423591554,0.0015435,-0.0145298611111,-0.22164489294,0.16,-0.0193423591554,-0.0005145,0.00178645833333,0.0624350646219,0.16,-0.0502901338041,0.0015435,0.0163163194444,-0.233860628858,0.16,-0.0193423591554,0.0042875,0.011790625,-0.415847800926
0.17,-0.0193423591554,,,,0.17,0.0116054154932,,,,0.17,-0.0502901338041,,,,0.17,-0.0502901338041,,,,0.17,-0.0193423591554,,,
0.18,-0.0193423591554,,,,0.18,-0.0193423591554,,,,0.18,-0.0193423591554,,,,0.18,0.0116054154932,,,,0.18,-0.0502901338041,,,
0.19,-0.0193423591554,,,,0.19,-0.0193423591554,,,,0.19,-0.0193423591554,,,,0.19,-0.0193423591554,,,,0.19,-0.0193423591554,,,
0.2,-0.0193423591554,0.0001715,0.00119097222222,0.262692081404,0.2,-0.0193423591554,0.0008575,-0.0209611111111,0.0216442660108,0.2,-0.0502901338041,0.001715,0.0122670138889,-0.0205690827546,0.2,-0.0193423591554,0.0032585,-0.00452569444444,-0.276504050926,0.2,-0.0193423591554,0.0015435,-0.0248913194444,-0.246465084877
0.21,-0.0193423591554,,,,0.21,-0.0193423591554,,,,0.21,-0.0502901338041,,,,0.21,0.0116054154932,,,,0.21,-0.0193423591554,,,
0.22,0.0116054154932,,,,0.22,-0.0193423591554,,,,0.22,-0.0193423591554,,,,0.22,-0.0193423591554,,,,0.22,-0.0502901338041,,,
0.23,-0.0193423591554,,,,0.23,-0.0193423591554,,,,0.23,-0.0502901338041,,,,0.23,-0.0502901338041,,,,0.23,-0.0502901338041,,,
0.24,-0.0193423591554,0.0001715,0.00262013888889,0.0909274209105,0.24,-0.0193423591554,-0.0008575,-0.00893229166667,0.141212914738,0.24,-0.0193423591554,0.0012005,0.005359375,-0.192656298225,0.24,-0.0193423591554,0.0005145,-0.0134579861111,-0.125167872299,0.24,-0.0502901338041,-0.0001715,-0.0113142361111,0.0348193962191
0.25,-0.0502901338041,,,,0.25,-0.0193423591554,,,,0.25,-0.0193423591554,,,,0.25,-0.0502901338041,,,,0.25,-0.0193423591554,,,
0.26,-0.0193423591554,,,,0.26,-0.0502901338041,,,,0.26,-0.0502901338041,,,,0.26,-0.0193423591554,,,,0.26,-0.0193423591554,,,
0.27,-0.0193423591554,,,,0.27,-0.0193423591554,,,,0.27,-0.0193423591554,,,,0.27,-0.0193423591554,,,,0.27,-0.0502901338041,,,
0.28,-0.0502901338041,0.0005145,0.000833680555555,0.138036988812,0.28,-0.0193423591554,0.000343,-0.00166736111111,0.0758417727623,0.28,-0.0193423591554,0.002401,-0.00678854166667,-0.258292100694,0.28,-0.0193423591554,0.0015435,-0.007503125,-0.0789846161265,0.28,-0.0193423591554,0.001372,-0.00917048611111,0.0846086516204
0.29,-0.0502901338041,,,,0.29,-0.0193423591554,,,,0.29,-0.0502901338041,,,,0.29,-0.0502901338041,,,,0.29,-0.0502901338041,,,
