"Latest: Time (s)","Latest: Force (N)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Position (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)","Run 2: Time (s)","Run 2: Force (N)","Run 2: Position (m)","Run 2: Velocity (m/s)","Run 2: Acceleration (m/s²)","Run 3: Time (s)","Run 3: Force (N)","Run 3: Position (m)","Run 3: Velocity (m/s)","Run 3: Acceleration (m/s²)","Run 4: Time (s)","Run 4: Force (N)","Run 4: Position (m)","Run 4: Velocity (m/s)","Run 4: Acceleration (m/s²)"
0.02,-0.0193423591554,,,,0.02,0.0425531901419,,,,0.02,0.0425531901419,,,,0.02,0.0425531901419,,,,0.02,-0.0502901338041,,,
0.04,-0.0193423591554,-0.018865,0.00309652777778,0.143462528935,0.04,-0.0193423591554,6.051549,-109.360071528,1131.12201394,0.04,-0.0193423591554,-0.002058,-0.274161805556,3.48533058449,0.04,0.0116054154932,-0.0214375,0.0981361111111,-0.765083863812,0.04,-0.0502901338041,-0.0032585,75.5917215278,-1542.69250429
0.06,-0.0193423591554,,,,0.06,0.0425531901419,,,,0.06,0.0116054154932,,,,0.06,0.0116054154932,,,,0.06,-0.0193423591554,,,
0.08,-0.0502901338041,-0.0197225,0.0185196180556,-0.0768425202546,0.08,0.0425531901419,0.000686,-61.0982446181,978.770630739,0.08,0.0116054154932,-0.0207515,-0.0922407986111,2.19908058449,0.08,0.0116054154932,-0.0159495,0.0563925347222,-0.650312186535,0.08,-0.0193423591554,6.051549,-0.162984548611,-1038.0305386
0.1,-0.0193423591554,,,,0.1,0.0116054154932,,,,0.1,0.0425531901419,,,,0.1,0.0116054154932,,,,0.1,-0.0193423591554,,,
0.12,-0.0193423591554,-0.0152635,7.14583333333E-05,-0.239459852431,0.12,0.0116054154932,-0.019551,-17.7642558333,675.108137225,0.12,0.0116054154932,-0.006174,-0.0414458333333,0.700614221644,0.12,0.0425531901419,-0.020237,0.0774608333333,-0.963670211227,0.12,-0.0193423591554,-0.0200655,-37.985535,-307.133003111
0.14,-0.0502901338041,,,,0.14,0.0425531901419,,,,0.14,0.0116054154932,,,,0.14,-0.0193423591554,,,,0.14,-0.0193423591554,,,
0.16,-0.0193423591554,-0.0197225,-0.0233430555556,0.0280457417052,0.16,0.0116054154932,-0.0166355,-4.09611076389,313.900570433,0.16,-0.0193423591554,-0.018865,-0.100160763889,0.487264781057,0.16,0.0116054154932,-0.003773,-0.01500625,-1.36135568576,0.16,-0.0502901338041,-0.0200655,-12.6227572917,158.900084563
0.18,-0.0193423591554,,,,0.18,0.0425531901419,,,,0.18,0.0116054154932,,,,0.18,0.0425531901419,,,,0.18,-0.0193423591554,,,
0.2,-0.0193423591554,-0.0204085,0.0179836805556,-0.00465637056327,0.2,0.0425531901419,0.0056595,-0.0190555555556,104.265342134,0.2,0.0116054154932,-0.0210945,-0.0233430555556,0.743985460069,0.2,0.0116054154932,-0.021609,-0.100398958333,-0.306319709684,0.2,-0.0502901338041,-0.014063,-4.21544618056,158.0949708
0.22,-0.0193423591554,,,,0.22,0.0425531901419,,,,0.22,0.0116054154932,,,,0.22,0.0425531901419,,,,0.22,-0.0193423591554,,,
