Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 4,Run 4,Run 4,Run 4,Run 4,Latest,Latest,Latest,Latest,Latest
Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²)
0.87,1.0580308716700002,,,,0.8600000000000001,1.210835509,,,,0.8600000000000003,1.0580308716700002,,,,0.8600000000000001,1.0889786463200002,,,,0.8600000000000001,1.0889786463200002,,,
0.88,1.0889786463200002,0.276458,0.320490625,0.26011164159,0.8700000000000001,1.210835509,0.278173,0.318823263889,0.239848572531,0.8700000000000003,1.02708309703,,,,0.8700000000000001,1.0580308716700002,0.27474299999999996,0.316679513889,0.362005931713,0.8700000000000001,1.0889786463200002,,,
0.89,1.0889786463200002,,,,0.8800000000000001,1.23984904774,,,,0.8800000000000003,1.02708309703,0.276801,0.320371527778,0.304773099923,0.8799999999999999,1.0580308716700002,,,,0.8800000000000001,1.0889786463200002,,,
0.9,1.0889786463200002,,,,0.8900000000000001,1.23984904774,,,,0.8900000000000001,1.02708309703,,,,0.8899999999999999,1.0580308716700002,,,,0.8900000000000001,1.0889786463200002,0.276801,0.329661111111,0.162749662423
0.91,1.0889786463200002,,,,0.9000000000000001,1.27079682238,,,,0.9000000000000001,1.02708309703,,,,0.8999999999999999,1.0580308716700002,,,,0.9000000000000001,1.0889786463200002,,,
0.92,1.0889786463200002,0.2893205,0.330732986111,0.25399136766999997,0.9100000000000001,1.17988773435,0.291207,0.324778125,0.23554783950599997,0.9100000000000001,1.02708309703,,,,0.9099999999999999,1.0580308716700002,0.28812,0.334186805556,0.31850236304,0.9100000000000001,1.1179921850599999,,,
0.93,1.0889786463200002,,,,0.9200000000000002,1.17988773435,,,,0.9200000000000002,1.02708309703,0.2900065,0.332400347222,0.22760802469099997,0.9199999999999999,1.0889786463200002,,,,0.9200000000000002,1.1179921850599999,,,
0.94,1.1179921850599999,,,,0.9300000000000002,1.1489399597,,,,0.9300000000000002,1.0580308716700002,,,,0.9299999999999999,1.0580308716700002,,,,0.93,1.1179921850599999,0.289835,0.335080034722,0.21054569348000002
0.95,1.1179921850599999,,,,0.9400000000000002,1.1489399597,,,,0.9400000000000002,1.0580308716700002,,,,0.94,1.0889786463200002,,,,0.9400000000000001,1.0889786463200002,,,
